scene_id,sp_id,spatial_config,ttc_risk,spatial_agree,ttc_agree
Scene_scene_1094_004,SP_scene_1094_004_c2cd1c94b23b,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_d5e4c7428022,LeftPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_26c0fe7b7be7,LeftPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_d1129cfbab9e,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_e4bcee294834,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_1e945b999fe5,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_dca503c4339d,RightFollowing,,,
Scene_scene_1094_004,SP_scene_1094_004_7f6af0dc2eec,Following,Low,,
Scene_scene_1094_004,SP_scene_1094_004_0ed11751b86b,LeftPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_8bbb58c7872d,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_50edb7922349,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_34babd813887,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_58fae57c2d1c,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_6e568999afec,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_5ca2bad0d1a8,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_3b456a991fa2,LeftPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_1ee88420008f,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_68b81debca3b,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_a2c524eee269,,Low,,
Scene_scene_1094_004,SP_scene_1094_004_2de8f44411b9,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_8011a3274603,Preceding,,,
Scene_scene_1094_004,SP_scene_1094_004_476f6d77c436,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_d6bc3f33d1d4,RightAlongside,,,
Scene_scene_1094_004,SP_scene_1094_004_d53e21598d6c,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_9c34afba37c4,LeftPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_905cee92fb0c,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_41876cb997c0,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_ef3031c93e56,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_e82dde094e49,LeftPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_633468335667,LeftPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_8a827eb0a1e5,RightFollowing,Low,,
Scene_scene_1094_004,SP_scene_1094_004_b11a0657aa03,RightFollowing,Low,,
Scene_scene_1094_004,SP_scene_1094_004_1a59d4696252,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_70c3064b13dc,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_3d07284b60a2,RightFollowing,,,
Scene_scene_1094_004,SP_scene_1094_004_bb04d5efa716,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_f4f4ecbd2408,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_5d8927063f53,LeftPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_03a8cab65bd3,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_8a1afae9df7f,LeftFollowing,Low,,
Scene_scene_1094_004,SP_scene_1094_004_56432583cc54,RightFollowing,,,
Scene_scene_1094_004,SP_scene_1094_004_9049c8bac214,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_4f51a30f662c,RightFollowing,,,
Scene_scene_1094_004,SP_scene_1094_004_53a3f3dc937e,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_7da562449891,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_39c572ddbacb,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_8c4fc85cfb17,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_905dffdea722,LeftPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_de5ae9b53ecf,LeftPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_6c96ddd60b55,LeftPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_eab91a887297,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_1c51b0f3a7b5,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_2694661b4dc8,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_0474ef84bafb,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_f81e36991492,RightPreceding,Low,,
Scene_scene_1094_004,SP_scene_1094_004_b86ea27b7716,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_e8a57825726b,RightPreceding,,,
Scene_scene_1094_004,SP_scene_1094_004_019012a2e97b,RightPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_4e0eee6ce8ba,LeftFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_4819357d6c8b,,,,
Scene_scene_0103_019,SP_scene_0103_019_40465f69677f,,Low,,
Scene_scene_0103_019,SP_scene_0103_019_12877c7f310f,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_86cbf5b990c0,RightFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_d5409ca89732,RightFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_9194ada64f3d,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_3e521841352f,RightPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_fa3a077571b5,RightFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_a57d75976446,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_1e02f58c954f,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_a9d2e4e4f827,,,,
Scene_scene_0103_019,SP_scene_0103_019_bf592f9b1456,Preceding,,,
Scene_scene_0103_019,SP_scene_0103_019_53489393ef8b,RightPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_ad562bb7e9b2,RightFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_7dbd366c8b93,,Low,,
Scene_scene_0103_019,SP_scene_0103_019_3047227016a2,Following,,,
Scene_scene_0103_019,SP_scene_0103_019_87c10c7c83b6,LeftFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_b23c728fb2e6,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_7a2bd3544506,RightFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_c27074ec6aa9,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_51bf1bf5c8bb,LeftFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_1c5f03dba0b2,,Low,,
Scene_scene_0103_019,SP_scene_0103_019_874e6b33ccf6,LeftFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_4b554b006fb2,LeftFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_af3462ccde5a,RightPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_7788c443e470,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_ff9db860f692,,Low,,
Scene_scene_0103_019,SP_scene_0103_019_9a0eb8529a08,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_1038d4e5898c,RightFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_06f87e2ac544,RightFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_1b74348028bc,RightPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_844d43cffc42,,Low,,
Scene_scene_0103_019,SP_scene_0103_019_d4942571c6fb,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_f24ee0f1645f,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_2080557263f6,,Low,,
Scene_scene_0103_019,SP_scene_0103_019_6198e3b2103f,RightFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_55f3a8913a78,RightPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_64ef24bf63b2,RightFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_270c26e425bd,RightPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_6df500d2ed6c,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_68596e2ddabf,,,,
Scene_scene_0103_019,SP_scene_0103_019_5d6135c27a78,RightPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_0772ee9b5984,RightPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_5c5460263f17,LeftFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_5b73f518f1da,,Low,,
Scene_scene_0103_019,SP_scene_0103_019_c57897fcb100,RightPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_c15100cb5ff3,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_517f5747c1cf,LeftFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_343ea5f5d158,,Low,,
Scene_scene_0103_019,SP_scene_0103_019_49653850b174,RightFollowing,,,
Scene_scene_0103_019,SP_scene_0103_019_b9ea1f3f2830,RightPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_ebf14fafa5e8,RightPreceding,Medium,,
Scene_scene_0103_019,SP_scene_0103_019_f68e48f5a5c2,LeftPreceding,Low,,
Scene_scene_0103_019,SP_scene_0103_019_da695e76c409,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_035869bca7b5,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_4aa4b1a9192f,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_808c89128898,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_df701fe99d92,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_59a3bd0e322c,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_60ede982d6fd,RightAlongside,,,
Scene_scene_0061_013,SP_scene_0061_013_b094a9eaeb4d,Preceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_dfe98331dfec,LeftPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_3e1bcf433064,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_b18ef5484631,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_c24383c6207c,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_593240d567d7,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_34395a06521c,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_a1d06441d023,LeftPreceding,,,
Scene_scene_0061_013,SP_scene_0061_013_6423b5d84e56,,Low,,
Scene_scene_0061_013,SP_scene_0061_013_d04282337457,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_2cfbc6ba6205,RightPreceding,High,,
Scene_scene_0061_013,SP_scene_0061_013_886919722f7f,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_82c7274214b1,,,,
Scene_scene_0061_013,SP_scene_0061_013_247cf534d9fd,,,,
Scene_scene_0061_013,SP_scene_0061_013_678f9bc7f2ed,LeftFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_0155babe4e90,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_2ced129735d3,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_e547ba79fbb6,RightPreceding,,,
Scene_scene_0061_013,SP_scene_0061_013_69be3ab8926d,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_52dd7ce362e5,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_5114b6b00cce,,Low,,
Scene_scene_0061_013,SP_scene_0061_013_9aeb302c7179,LeftFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_a82529a6ce61,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_ec77aa27ddef,LeftPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_37f069345db0,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_7fb138a1a121,RightAlongside,,,
Scene_scene_0061_013,SP_scene_0061_013_ed0b2b0ebd3e,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_72a4cfc8e882,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_915313436d69,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_93c684978ca7,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_4ab28508d9dc,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_146634f3c4da,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_db6ee392c0c0,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_582d5525495a,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_4d0958c42a43,Preceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_e01ac1ea1fee,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_99f2d0ed801e,RightAlongside,Low,,
Scene_scene_0061_013,SP_scene_0061_013_fdd211e8679e,,Low,,
Scene_scene_0061_013,SP_scene_0061_013_6f7b98189b81,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_33ca8d4fc700,RightAlongside,Low,,
Scene_scene_0061_013,SP_scene_0061_013_5a9b36e646c8,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_6e461610fdfe,Preceding,,,
Scene_scene_0061_013,SP_scene_0061_013_8fc56d27b132,,,,
Scene_scene_0061_013,SP_scene_0061_013_1bfe9e538a8e,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_5535e38310ac,Preceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_95b2356a9d61,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_de5eb7363668,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_6adeaf6b3f60,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_ce973219aa05,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_46a193d07bab,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_4f84e8ba6c19,RightAlongside,Low,,
Scene_scene_0061_013,SP_scene_0061_013_53e3b364b04e,,Low,,
Scene_scene_0061_013,SP_scene_0061_013_61c741fc85d6,RightAlongside,,,
Scene_scene_0061_013,SP_scene_0061_013_8ec3759bcd04,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_efbb3aec0331,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_dea838783ee9,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_8f5f75d6049b,Preceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_2c3fa18309de,,Low,,
Scene_scene_0061_013,SP_scene_0061_013_509a306518c1,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_e83d330bdef6,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_77421a664224,,,,
Scene_scene_0061_013,SP_scene_0061_013_29cfe82d7f16,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_ba2c6dc113d9,,,,
Scene_scene_0061_013,SP_scene_0061_013_c8d75fa5b14e,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_ad3a5d6da527,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_7b64245a98e3,,,,
Scene_scene_0061_013,SP_scene_0061_013_8ef129d9e843,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_7b2b6ed47e6d,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_1c6123fbed80,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_47734ad83bef,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_49b46070f22c,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_5a50b18f6108,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_a320571f53dc,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_792ff2b11742,RightAlongside,Low,,
Scene_scene_0061_013,SP_scene_0061_013_0e98cda623de,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_473f432f63bc,RightAlongside,,,
Scene_scene_0061_013,SP_scene_0061_013_3995dbc397f8,RightPreceding,High,,
Scene_scene_0061_013,SP_scene_0061_013_2e86b6d2fe88,RightPreceding,,,
Scene_scene_0061_013,SP_scene_0061_013_6346c07921e5,,,,
